name,kitchen,webpage,hidden,music_type,type,address
Coffee House,"вегетарианска,",Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София 6-ти септември 1"
"Com?die-Fran?aise, Париж",Няма,Начало / Сцена / Гостуващи театри,TRUE,Няма,Театри,
Commanda Camp,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София ул. Славянска 7"
Communication room,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София ул. Константин Стоилов 2"
Concept,"фюжън, средиземноморска, европейска,",Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Иван Вазов 12"
Contigo,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София 1000 бул. Мария Луиза 47"
Continental Plaza,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. България 1, НДК"
Corso,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Цар Освободител 10 (срещу Руската църква)"
Cosmo,Няма,Начало / Заведения / Kлубове,FALSE,"house, chillout,",Клубове и барове,"София ул. Позитано 8"
cosmos coworking camp,Няма,"Начало / Слово / Други места Начало / Заведения / Кафетерии Начало / Заведения / Bar & Play",FALSE,Няма,Други места,"София ул. Ангел Кънчев 3"
Costa Coffee 1,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София ул. Александър Батенберг 10Б"
Costa Coffee 2,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Ресторанти,"София City Center Sofia, ет. 1"
Craft,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Клубове и барове,"София Цар Асен 53"
Creative Hall,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София Ул. Тинтява 122"
Creative Inside,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София ул. Цар Шишман 12, етаж 2"
Credo Bonum,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София ул. Славянска 2"
Cross the Line,Няма,Няма,FALSE,Няма,В движение,"София ул. Цар Самуил 38"
CRU,Няма,Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Цар Асен 45"
Crudo,Няма,Начало / Заведения / Бързо хранене,FALSE,Няма,Ресторанти,"София Шести септември 33"
Crystal Palace,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. Шипка 14"
Culture Beat,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София пл. България 1, в сградата на НДК"
Cush.Bar,Няма,Начало / Заведения / Кафетерии,FALSE,Няма,Клубове и барове,"София Екзарх Йосиф 37"
D Lounge,Няма,Начало / Заведения / Bar & Diner,FALSE,Няма,Ресторанти,"София бул. Цар Освободител 31"
Da House,"европейска,",Начало / Заведения / Ресторанти,FALSE,"lounge, house,",Ресторанти,"София ж.к. Младост 1, бул. Йерусалим 15"
Dada Cultural Bar,Няма,Начало / Заведения / Kлубове,FALSE,Няма,Клубове и барове,"София ул. Бенковски 10"
DALI New Platinum Club,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София Шипка 6 (вход откъм СУ Климент Охридски)"
Dell' Arte,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София ул. д-р Любен Русев 6"
Delta Sky-Paramania Лететелно училище,Няма,Няма,FALSE,Няма,В движение,
Derida Dance Center,Няма,"Начало / Сцена / Театри Начало / Слово / Други места",FALSE,Няма,Други места,"София бул. Сливница 245, ет. 4"
Despark,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София ул. Георги Бенковски 11, ет. 3"
DEVET,Няма,"Начало / Заведения / Кафетерии Начало / Заведения / Bar & Play",TRUE,Няма,Други места,"София ул. Иван Вазов 9"
